name,review_score,secondary_review_score,price,address,distance,city
ProfilHotels Nacka,8.7 Fabulous,9.3,79710,Stockholm,4.1 km from centre,Stockholm
Livington Hotel,8.6 Fabulous,9.2,60022,"Vällingby, Stockholm",12.4 km from centre,Stockholm
Best Western Plus Time Hotel,8.7 Fabulous,9.0,107346,"Vasastan, Stockholm",1.9 km from centre,Stockholm
UPTOWN Hotel Apartments,8.9 Fabulous,8.9,39844,Stockholm,19.9 km from centre,Stockholm
Brommavik Hotel,8.2 Very Good,8.7,68273,"Bromma, Stockholm",6.7 km from centre,Stockholm
"Sky Hotel Apartments, Stockholm",8.4 Very Good,8.6,57303,"Kungsholmen, Stockholm",2.8 km from centre,Stockholm
Best Western Plus Sthlm Bromma,8.3 Very Good,8.6,64277,"Bromma, Stockholm",7.2 km from centre,Stockholm
Hesselby Slott,7.9 Good,8.5,49225,"Vällingby, Stockholm",12.5 km from centre,Stockholm
ApartDirect Hammarby Sjöstad,8.3 Very Good,8.5,70669,"Södermalm, Stockholm",4.1 km from centre,Stockholm
Best Western and hotel,8.1 Very Good,8.4,112951,"Norrmalm, Stockholm",450 m from centre,Stockholm
Mornington Hotel Bromma,7.9 Good,8.4,82569,"Bromma, Stockholm",5.9 km from centre,Stockholm
Good Morning+ Hägersten,7.8 Good,8.2,46933,"Liljeholmen - Hägersten, Stockholm",7.9 km from centre,Stockholm
Scandic Victoria Tower,7.8 Good,8.2,66949,"Kista, Stockholm",10.3 km from centre,Stockholm
Generator Stockholm,8.0 Very Good,8.2,119990,"Norrmalm, Stockholm",0.9 km from centre,Stockholm
Scandic Kungens Kurva,7.6 Good,8.1,54064,Stockholm,10.7 km from centre,Stockholm
